별점,리뷰 내용,날짜
4,다양한 파이와 쿠키를 즐길 수 있는 신촌 카페 오랫동안 사랑을 받아온 공간으로 알고 있는데 인테리어가 아기자기 하다 1층은 테이블이 몇개 없는데 2층까지 있음 파이와 쿠키 종류가 굉장히 다양한데 제철 과일도 활용해서 좋음 무화과 파이와 초코 쿠키 라떼를 주문했는데 무화과가 맛있는 무화과였음 파이 시트도 맛있음 초코 쿠키도 진하고 고소한 맛 라떼도 맛있었음. 라떼는 산미가 느껴지지 않는 진하고 고소한 원두였음 파이와 쿠키 모두 추천 공간도 예쁘고 디저트도 맛있어서 데이트하기 좋은 공간일듯 바빠서 정신이 없는데도 직원들이 친절함,2024년 10월 07일
4,사람 많다. 파이 비싼편인데 장사잘됨. 레몬 디저트 조아하면 레몬파이 추천,1월 2일
5,컨셉이 눈에 띄고 귀여움. 음료는 ㅂㄹ인데 파이는 다양하고 맛남,5일 전
4,맛있는 타르트 집입니다 잘 돼서 2층으로 확장 이전했네요 타르트는 여전히 맛있습니다,2024년 12월 01일
5,주말에는 자리잡기 어려워요** 파이맛집⭐️⭐️⭐️⭐️⭐️가격도 다른 동네 감성카페에 비해 이정도면 조금 싼 편이라고 생각해요 파이 한입씩 먹고 감탄하면서 매번 먹습니다 음료도 맛있어요 ㅜ로얄밀크티 진하고 맛있네요,2024년 03월 18일
4,다양한 종류의 파이를 팔고 있어요. 많이 달지 않아서 선물용으로도 좋을 것 같아요. 겉보기보다 매장 내부에 좌석 많아요.,2024년 08월 20일
5,"신촌에서 꼭 가야할 맛집을 꼽자면 단연 파이홀이다 추천에서 실패한 적이 없음… 다들 맛있다고 함 증축 공사까지 했는데 언제 가도 손님이 바글바글하다. 그래도 자리가 꼭 하나쯤은 있어서 방문 시 부담도 조금 덜하다는 점이 매력적이다. 파이가 진짜 맛있다. 가격이 저렴한 편은 아닌데 맛이 너무 좋아서 그냥 불만이 없음… 라인업도 다양한 편이고 뭘 먹어도 실패하지 않는다. 빵 맛이 진하고 위에 올라간 토핑이 진하고 되게 성의껏 만든 느낌이라서 만족스러움 라벤더 라떼는 나같이 라벤더 향 좋아하는 사람에게는 최고이다. * 추천 메뉴: 파이 대다수, 라벤더라떼",2023년 11월 20일
3,기대를 너무 많이 해서 그런가 생각보다 그렇게까지 맛있는지는 잘 모르겠더라고요ㅠ개인적으로 좀 많이 단 느낌..,2024년 09월 01일
5,파이가 진짜 맛있어요…. 파이 도장깨기하러 또 가고싶른곳! 사람 많아요,2024년 10월 20일
4,가게분위기는 귀엽지만 편하진 않았구요 그치만 파이가 맛있어서 인기많은이유를 알겠네요!!,2024년 08월 28일
5,맛있는 파이 먹으러 왔어요 평소 좋아하는 비스킷도 있네요 바닐라라떼는 좀 밍밍했어요 커피맛이 개선되면 더 좋을 것 같아요,2024년 04월 16일
5,"로투스파이랑 레몬파이를 먹었는데, 파이를 디저트로 제대로 먹어본 적은 처음이었고 굉장히 맛있어서 기분이 좋았고 양도 생각보다 많아서 좋았어요.",2024년 02월 26일
5,디저트가 맛있어서 종종 오는 곳이에요 인테리어가 예뻐 사진이 잘 나와서 좋아요 파이랑 스콘 둘 다 맛있었습니다!,2024년 04월 16일
5,워낙 역사있는 유명한 카페라서 그런지 사람이 많다. 2층까지 있는 넓고 예쁜 카페. 복숭아에 달콤함과 요거트에 상큼함이 어우러지면서 쫀득한 시트랑 궁합이 잘 어울림. 이야기하기도 좋고 아메리카노도 고소하고 담백하며 맛있음. 진짜레몬에이드는 정말 생레몬을 갈아넣은 듯한 맛이 남. 엄청 상콤하다. 이 카페의 아이스 음료가 좋은 점은 각얼음이 아닌 살얼음으로 음료에 담아줘서 음료의 맛을 보존하되 온도는 시원하게 유지하면서 마실 수 있다. 바쁘신데도 불구하고 직원분들이 친절하심. 아쉬운 건 2층에는 정수기가 없어 물을 마시려면 1층까지 내려가야하지만 그 점만 제외하면 완벽함.,2023년 08월 03일
5,"처음 파이홀을 알았던건 몇년전 좀더 신촌 위쪽의 연대에서 연희동 가는길 건너편에 있을때였다 혼자서도 가고 파이홀 좋아하시는 와잎님과도 가고. 어느새 공주님이 태어나 공주와 왔을땐 지금 자리로 이사를 한 후고, 간만에 신촌에 다같이 산책와서 들렀다. 인기가 많은지라 좌석을 겨우잡고 엄빠는 커피 공주는 쿠키. 지난번에 온게 오래전인데 1층만 쓰고 있었고 안쪽으로 따닥따닥 좌석들이 모여있었는데 어느새 2층까지 연결되어 좌석이 많았고 1층도 그렇지만 2층이 아주 이쁘게 꾸며져있었다 커피맛도 맛있고 공주님이 쿠키를 금방 다 먹어버렸다ㅋ 파이류를 먹었어야하는데 밥먹고 온지라 아쉬움이 남는다ㅋ 담번에 꼭 먹고말테닷ㅋ",2022년 11월 08일
5,"파이 전문점 처음 봤는데 많아졌으면 좋겠어요 가격은 요즘 작은 케잌도 6천원 이상인데 속 꽉찬 애플파이 6,500원, 로투스 6,800원이면 괜찮은 것 같아요 물론 다른 카페와 비교했을때지 크기만 봐서는 비싼 편이죠^^,,, 근데 진짜 너무 맛있게 먹었어요 제가 방문했을 때 자리가 꽉 차있어 두개 포장했는데 두번째 사진처럼 손잡이 있는 딱맞는 종이박스에 꼼꼼하게 담아주세요 덕분에 1시간 넘는 거리였는데도 흐트러지지 않고 잘 먹었습니다 신촌에 방문한다면 또 포장하고 싶어요🧡",2022년 05월 01일
3,외부출장갔다가 공덕역부터걸어오는길에중간에 케이크집 하나찍고 일행이 아는 곳이어서 2차디저트장소로 갔죠 겁나 달더라구요 설탕은 진짜 많이 넣었겠구나 십었습니다 직접 파이를 만드는 곳인지 맛이 아주 좋았습니다 거무튀튀한게 초콜릿스러운맛이 많이 날거같았지만 생각보다는 그것보다는 빵맛이 많이나요 젊은 층에서는 아주좋아할거 같은 맛이었어요 아메리카노랑 먹었더니 맛이 꽤 잘어우러집니다 화장실이 조끔 불편해서 참았다 그냥역으로 갔어요 가격은 만만치 않아서 이것저것 다먹어보고싶었지만 참았어요 견과류가 강하게여러가지 씹히는 것도 좋았네 커피와 잘어울리는디저트집입니다,2021년 10월 31일
5,항상 말차 타르트만 시킵니다. 타르트가 정말 맛있습니다. 맛도 진하고 시트 위에 올린 크림(?)도 쫀쫀하고 너무 맛있어요. 그 맛을 정말 잘 살린 느낌! 신촌에서 카페 어디로 갈 지 고민될 때는 항상 파이홀로 걸음하는 것 같습니다. 그런데 매장에 사람이 많아 테이블이 없어서 다시 나가는 경우도 부지기수 ㅠㅠ,2021년 07월 14일
5,"신촌 파이 혹은 타르트 맛집 필링이 빈약하지 않고, 파이들이 다 각자 이름에 충실한 맛을 보여줘서 너무 좋아요. 얼그레이 가나슈 시켰는데, 역시 기대를 져버리지 않는 진한 얼그레이향. 초코도 꾸덕하고 달콤하고 맛있게 먹었어요. 초코스콘은 그냥 별 기대없이 테이크아웃으로 시켰는데요, 진한 밀크티 시럽? 소스?가 얹어져있어서 지루하지 않게 먹었네요! 스콘 자체의 맛도 괜찮았구요. 커피는 별 특색이 없었던거 같고요. 카페 내부는 너무 좁은데 테이블이 붙어서 많이 배치되어있어가지구. 시끄럽기도하고 요즘 시국엔 약간 부담스러워요. 대학가라 가격도 그렇게 비싸지 않고 좋아요. 주차하기가 너무 어려운데, 신촌이니까 뭐 어쩔 수 없네요. 테이크아웃하실거면 현대백화점 쪽에 잠시 정차하시고 오는 건 가능한 위치에요.",2020년 07월 15일
4,"밖에 지나가면서 보기만 했는데 항상 사람이 많고 대기가 있길래 궁금해서 와본 곳이다.  보통 카페 디저트 생각하면 가격이 아주 비싸지도 않고, 무엇보다 정말 맛있다. 브라우니에 아이스크림 추가해서 먹었는데 쫀득쫀득한 질감이 마음에들었다. 스모어 파이는 좀 애매하긴 했지만, 종종 생각나서 올 것 같다.",2019년 12월 10일
4,파이가 예쁘고 맛있어용! 얼그레이 가나슈가 진짜 맛있어요 파이조각도 작지 않고 엄청 비싸지도 않고 음료 가격도 적당해서 신촌 갈때 생각나면 들르기 좋아요 항상 사람 많아서 저녁시간대쯤 가면 웨이팅 할 때도 많아요.. 항상 북적북적해서 카페 인테리어가 아기자기한데 비해 생각보다 부산스러운 분위기인거 같아요 !파이가 다 팔리면 충전(?)되는데 타이밍 잘못 맞추면 원하는 파이 못먹을수도 있어요ㅠ 스모어쿠키나 키쉬는 품절되면 끝이니 일찍 가시는게 좋아요!,2019년 02월 24일
5,신촌의 유명 플레이스 더 파이홀! 넓은 곳으로 이장하고 나서는 좀 더 이용이  편해졌어요. 신촌 가면 항상 가는 곳이에요... 얼그레이는 늘 먹는데도 안 시킬 수가 없고 단호박크림파이는 별로 안 달면서도 부드럽고 너무 맛있더라고요.,2019년 05월 08일
5,파이홀 파이는 맛있는 게 이미 소문난 집 음료도 맛있고 파이도 맛있음,2024년 03월 11일
4,신촌에 파이집이 있는줄 몰랐는데 사람도 되게 많고 종류도 되게 많았어요! 추천합니다!,2024년 02월 01일
5,유명한 파이집이래서 가봤는데 그럭저럭 괜찮아요~ 시그니처라는 얼그레이 가나슈를 먹었는데 음... 파이라기 보다는 생초콜릿에 가까운 식감이라 음 이런 꾸덕하고 단 류를 좋아하시면 추천입니다,2022년 06월 18일
4,음료 양이 다른 카페보다 좀 작은 편인 것 같아요. 그래도 맛있는 디저트들이 많아서 메뉴 고르느라 한참 고민했습니다ㅠㅠ 초코머랭파이는 달고 부드럽고 맛있었어요. 딱 커피가 땡기는 맛!,2019년 08월 16일
5,신촌 디저트 집중에서 갈만한 곳. 얼그레이 쇼쇼콜라가 대표메뉴다. 로투스 같은 맛을 제외하고는 호불호 없이 다들 좋아할 맛이라고 느꼈다. 홀케이크 주문도 해봤는데 맛있었음,2021년 06월 02일
4,파이는 대부분 6000원대이고 에이드도 6500원인데 양은 적어서 가성비는 그닥 좋지 않은 것 같지만 파이가 맛있어서 다시가고 싶은집.... 파이는 정말 맛있어요!,2019년 08월 08일
5,얼그레이가나슈파이 초코는 쫀득하고 얼그레이크림은 향이 진하고 사각사각한 맛이 있어요. 딸기크림은 상큼하고 치즈는 충분했습니다. 커피는 좀 쓰지만 기본은 한다.,2020년 03월 15일
5,대학생때부터 자주 가던 신촌 최애 카페 제발 안 없어지고 오래오래 했으면 ㅠㅠ 음료도 맛있고 파이들도 하나같이 다 맛있다. 집 앞에 있으면 얼마나 좋을까,2023년 02월 12일
5,사람들도 많고 인기있는 메뉴는 나오자마자 품절되는 케이크 맛집! 아메리카노는 쓴맛이 두드러졌고 초콜릿피칸은 견과류 강정같은 맛이었어요.,2021년 01월 26일
3,"모 맛집 어플 순위권에 들었다길래 갔는데 그냥.. 그냥 그랬어요... 모든 것이...... 침울... 원두 신 맛이 좀 세더라고요,,,,",2020년 07월 29일
5,오레오말차파이가 너무 맛있어서 만족스러웠습니다. 갈때마다 파이 종류가 조금씩 바뀝니다. 주말에는 붐비는 편이고 약간 복작대는 분위기입니다.,2019년 06월 21일
5,2층까지 확장되면서 유일한 단점이었던 좁은 공간도 해결 예쁜 카페치고 음료 디저트 저렴한 것 같음. 1인 1음료 강제하지 않아서 좋다,2022년 10월 16일
3,신촌역 근처 파이 맛집 커피 맛있었어요. 코코넛크림 파이는 조금 느끼했음. 시끌벅적해서 금방 나왔어요 근데 손님들 엄청 많았어요.,2023년 07월 22일
4,가격대가 좀 있어서 부담스럽지만 크고 두터워 양도 많음 펌킨파이는 달지않아서 먹어도먹어도 질리지않고 끝까지 맛있게 먹을 수 있다,2020년 01월 04일
5,파이가 여러 종류가 있고 맛있다. 내부가 생각보다 넓고 잘 꾸며져 있다. 화장실은 내부에 남녀 1칸씩으로 나누어져 있다.,2020년 07월 03일
4,파이가 맛있긴한데 엄청 진해서 단거 잘 못드시는 분은 힘들것같아요ㅠ 데이트하기에도 좋을거 같고 음료는 무난했어요ㅎ,2020년 08월 02일
3,평일에 갔는데도 사람이 정말 많았어요 2층에도 자리가 있어서 앉을 수 있었어요 디저트는 다 무난하게 맛있었어요,2022년 07월 29일
4,1. 워낙 유명한 파이집이라 뭐라 보탤 말이 없음 2. 내기준 신촌 디저트집 TOP5 3. 그런데 메뉴가 늘 달라져서 인스타를 체크해야 하고 사람에 따라 메뉴 호불호가 좀 복불복일 수 있음 4. 하지만 스테디셀러들은 안정적인 맛 5. 늘 붐빔,2019년 12월 08일
5,인테리어 예쁘고 파이도 정말 맛있습니다! 다만 인기가 많아서 웨이팅 해야할 수도 있다는게 단점입니다.,2020년 02월 04일
3,자리가 살짝 불편하고 사람들이 굉장히 많았어요 (복작복작) 파이는 맛있었지만 커피는 평범했습니다,2023년 03월 23일
5,가게가 너무 예뻐요. 파이가 진짜 맛있어요. 파이지도 맛있고 필링이 다 다르게 맛있어요.,2020년 08월 20일
5,"주말에 1층,2층 모두 붐비는 인기 많은 카페. 인테리어 아기자기하고 디저트류가 다양함",2023년 05월 16일
3,신촌에 괜찮아서 자주 방문하는 곳이에요 사람이 많아서 조금 자리잡기 힘들어요,2020년 05월 23일
5,가게가 너무 예쁘고 맛있는 게 많아요. 인기가 많아서 내부엔 좌석이 없어요,2022년 03월 01일
4,미트파이 맛있어요. 다른 파이류는 너무 달았어요.. 근데 화장실이 없..,2021년 09월 24일
4,인테리어도 예쁘고 파이도 맛있어요! 인기가 많아서 항상 복작복작하지만..,2021년 02월 08일
4,파이가 꾸덕하고 맛있어요. 내부는 아담하지만 예쁩니다. 사람 많아요!,2022년 07월 01일
4,여기는 카페 분위기가 넘 예뻐서 진짜 만족이거 케이크들이 다 맛있어요,2020년 05월 12일
4,파이가 전반적으로 맛있고 사람들도 많아요 2층까지 있습니다,2023년 06월 02일
5,커피랑 파이랑 쿠키 모두 맛이 좋으며 직원분들이 친절합니다,2021년 09월 27일
5,무난하게 가기 좋아요~~ 얼그레이 가나슈 타르트가 베스트.,2020년 04월 26일
5,케이크들 다 맛있고 음료도 맛있어요~! 분위기도 좋아요,2018년 07월 13일
4,"얼그레이 가나슈 타르트 맛있었고, 밀크티도 좋았습니다. 다만 사람이 너무 많고 좌석이 나무좌석이라 딱딱해서 별하나 뺏어요ㅠ 근데 가게가 아기자기하고 예쁩니당",2019년 10월 18일
5,자주가는곳이에요. 이런맛집이 있는걸 넘늦게알았어요. 파이 케익 진짜다맛있어요.음료도 거의다맛있어요,2024년 05월 09일
4,"적당히 달면서 꾸덕꾸덕 진한 파이. 진한 것을 넘어 찐하다. 파이지 자체는 버터향 나는 고소한 파이지이지만, 위의 크림부분이 정말 맛있다.",2020년 01월 20일
5,리뷰 없음,2023년 11월 06일
5,리뷰 없음,2023년 10월 27일
